0.000, 1.000
0.063, 0.998
0.127, 0.992
0.190, 0.982
0.254, 0.968
0.317, 0.950
0.381, 0.928
0.444, 0.903
0.507, 0.874
0.571, 0.841
0.634, 0.805
0.698, 0.766
0.761, 0.724
0.825, 0.679
0.888, 0.631
0.952, 0.580
1.015, 0.528
1.078, 0.473
1.142, 0.416
1.205, 0.357
1.269, 0.298
1.332, 0.236
1.396, 0.174
1.459, 0.112
1.522, 0.048
1.586, -0.015
1.649, -0.078
1.713, -0.141
1.776, -0.204
1.840, -0.266
1.903, -0.326
1.966, -0.385
2.030, -0.443
2.093, -0.499
2.157, -0.553
2.220, -0.605
2.284, -0.654
2.347, -0.701
2.411, -0.744
2.474, -0.785
2.537, -0.823
2.601, -0.857
2.664, -0.888
2.728, -0.916
2.791, -0.939
2.855, -0.959
2.918, -0.975
2.981, -0.987
3.045, -0.995
3.108, -0.999
3.172, -1.000
3.235, -0.996
3.299, -0.988
3.362, -0.976
3.425, -0.960
3.489, -0.940
3.552, -0.917
3.616, -0.890
3.679, -0.859
3.743, -0.825
3.806, -0.787
3.869, -0.747
3.933, -0.703
3.996, -0.656
4.060, -0.607
4.123, -0.556
4.187, -0.502
4.250, -0.446
4.314, -0.388
4.377, -0.329
4.440, -0.269
4.504, -0.207
4.567, -0.145
4.631, -0.082
4.694, -0.018
4.758, 0.045
4.821, 0.108
4.884, 0.171
4.948, 0.233
5.011, 0.294
5.075, 0.354
5.138, 0.413
5.202, 0.470
5.265, 0.525
5.328, 0.578
5.392, 0.628
5.455, 0.676
5.519, 0.722
5.582, 0.764
5.646, 0.804
5.709, 0.840
5.773, 0.872
5.836, 0.902
5.899, 0.927
5.963, 0.949
6.026, 0.967
6.090, 0.981
6.153, 0.992
6.217, 0.998
6.280, 1.000
